2022-02-21 22:56:46 startup archives install
2022-02-21 22:57:13 upgrade dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2022-02-21 22:57:13 status half-configured dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 status unpacked dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 status half-installed dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 status unpacked dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 startup packages configure
2022-02-21 22:57:13 configure dpkg:amd64 1.19.7ubuntu3 <none>
2022-02-21 22:57:13 status unpacked dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 status half-configured dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 status installed dpkg:amd64 1.19.7ubuntu3
2022-02-21 22:57:13 startup packages configure
2022-02-21 22:57:14 startup archives unpack
2022-02-21 22:57:14 upgrade e2fsprogs:amd64 1.45.5-2ubuntu1 1.45.5-2ubuntu1
2022-02-21 22:57:14 status half-configured e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:14 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:14 status half-installed e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:14 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:14 startup packages configure
2022-02-21 22:57:14 configure e2fsprogs:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:57:14 status unpacked e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:14 status half-configured e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:15 status installed e2fsprogs:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:16 startup archives unpack
2022-02-21 22:57:16 upgrade fdisk:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9
2022-02-21 22:57:16 status half-configured fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:16 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:16 status half-installed fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:16 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:16 startup packages configure
2022-02-21 22:57:16 configure fdisk:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:57:16 status unpacked fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:16 status half-configured fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:16 status installed fdisk:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:17 startup archives unpack
2022-02-21 22:57:17 upgrade findutils:amd64 4.7.0-1ubuntu1 4.7.0-1ubuntu1
2022-02-21 22:57:17 status half-configured findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 status unpacked findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 status half-installed findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 status unpacked findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 startup packages configure
2022-02-21 22:57:17 configure findutils:amd64 4.7.0-1ubuntu1 <none>
2022-02-21 22:57:17 status unpacked findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 status half-configured findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 status installed findutils:amd64 4.7.0-1ubuntu1
2022-02-21 22:57:17 startup packages configure
2022-02-21 22:57:18 startup archives unpack
2022-02-21 22:57:18 upgrade gcc-10-base:amd64 10-20200411-0ubuntu1 10-20200411-0ubuntu1
2022-02-21 22:57:18 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:18 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:18 status half-installed gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:18 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:19 startup packages configure
2022-02-21 22:57:19 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2022-02-21 22:57:19 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:19 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:19 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
2022-02-21 22:57:19 startup packages configure
2022-02-21 22:57:20 startup archives unpack
2022-02-21 22:57:20 upgrade gpgv:amd64 2.2.19-3ubuntu2 2.2.19-3ubuntu2
2022-02-21 22:57:20 status half-configured gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 status unpacked gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 status half-installed gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 status unpacked gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 startup packages configure
2022-02-21 22:57:20 configure gpgv:amd64 2.2.19-3ubuntu2 <none>
2022-02-21 22:57:20 status unpacked gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 status half-configured gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 status installed gpgv:amd64 2.2.19-3ubuntu2
2022-02-21 22:57:20 startup packages configure
2022-02-21 22:57:21 startup archives unpack
2022-02-21 22:57:21 upgrade grep:amd64 3.4-1 3.4-1
2022-02-21 22:57:21 status half-configured grep:amd64 3.4-1
2022-02-21 22:57:21 status unpacked grep:amd64 3.4-1
2022-02-21 22:57:21 status half-installed grep:amd64 3.4-1
2022-02-21 22:57:21 status unpacked grep:amd64 3.4-1
2022-02-21 22:57:21 startup packages configure
2022-02-21 22:57:21 configure grep:amd64 3.4-1 <none>
2022-02-21 22:57:21 status unpacked grep:amd64 3.4-1
2022-02-21 22:57:21 status half-configured grep:amd64 3.4-1
2022-02-21 22:57:21 status installed grep:amd64 3.4-1
2022-02-21 22:57:21 startup packages configure
2022-02-21 22:57:23 startup archives unpack
2022-02-21 22:57:23 upgrade gzip:amd64 1.10-0ubuntu4 1.10-0ubuntu4
2022-02-21 22:57:23 status half-configured gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 status unpacked gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 status half-installed gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 status unpacked gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 startup packages configure
2022-02-21 22:57:23 configure gzip:amd64 1.10-0ubuntu4 <none>
2022-02-21 22:57:23 status unpacked gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 status half-configured gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 status installed gzip:amd64 1.10-0ubuntu4
2022-02-21 22:57:23 startup packages configure
2022-02-21 22:57:24 startup archives unpack
2022-02-21 22:57:24 upgrade hostname:amd64 3.23 3.23
2022-02-21 22:57:24 status half-configured hostname:amd64 3.23
2022-02-21 22:57:24 status unpacked hostname:amd64 3.23
2022-02-21 22:57:24 status half-installed hostname:amd64 3.23
2022-02-21 22:57:24 status unpacked hostname:amd64 3.23
2022-02-21 22:57:24 startup packages configure
2022-02-21 22:57:24 configure hostname:amd64 3.23 <none>
2022-02-21 22:57:24 status unpacked hostname:amd64 3.23
2022-02-21 22:57:24 status half-configured hostname:amd64 3.23
2022-02-21 22:57:24 status installed hostname:amd64 3.23
2022-02-21 22:57:24 startup packages configure
2022-02-21 22:57:26 startup archives unpack
2022-02-21 22:57:26 upgrade init-system-helpers:all 1.57 1.57
2022-02-21 22:57:26 status half-configured init-system-helpers:all 1.57
2022-02-21 22:57:26 status unpacked init-system-helpers:all 1.57
2022-02-21 22:57:26 status half-installed init-system-helpers:all 1.57
2022-02-21 22:57:26 status unpacked init-system-helpers:all 1.57
2022-02-21 22:57:26 startup packages configure
2022-02-21 22:57:26 configure init-system-helpers:all 1.57 <none>
2022-02-21 22:57:26 status unpacked init-system-helpers:all 1.57
2022-02-21 22:57:26 status half-configured init-system-helpers:all 1.57
2022-02-21 22:57:26 status installed init-system-helpers:all 1.57
2022-02-21 22:57:26 startup packages configure
2022-02-21 22:57:27 startup archives unpack
2022-02-21 22:57:27 upgrade libacl1:amd64 2.2.53-6 2.2.53-6
2022-02-21 22:57:27 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:27 status half-configured libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 status unpacked libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 status half-installed libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 status unpacked libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 startup packages configure
2022-02-21 22:57:27 configure libacl1:amd64 2.2.53-6 <none>
2022-02-21 22:57:27 status unpacked libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 status half-configured libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 status installed libacl1:amd64 2.2.53-6
2022-02-21 22:57:27 startup packages configure
2022-02-21 22:57:27 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:27 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:27 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:28 startup archives unpack
2022-02-21 22:57:28 upgrade libapt-pkg6.0:amd64 2.0.2 2.0.2
2022-02-21 22:57:28 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:28 status half-configured libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:28 status unpacked libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:28 status half-installed libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:29 status unpacked libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:29 startup packages configure
2022-02-21 22:57:29 configure libapt-pkg6.0:amd64 2.0.2 <none>
2022-02-21 22:57:29 status unpacked libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:29 status half-configured libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:29 status installed libapt-pkg6.0:amd64 2.0.2
2022-02-21 22:57:29 startup packages configure
2022-02-21 22:57:29 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:29 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:29 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:30 startup archives unpack
2022-02-21 22:57:30 upgrade libattr1:amd64 1:2.4.48-5 1:2.4.48-5
2022-02-21 22:57:30 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:30 status half-configured libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 status unpacked libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 status half-installed libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 status unpacked libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 startup packages configure
2022-02-21 22:57:30 configure libattr1:amd64 1:2.4.48-5 <none>
2022-02-21 22:57:30 status unpacked libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 status half-configured libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 status installed libattr1:amd64 1:2.4.48-5
2022-02-21 22:57:30 startup packages configure
2022-02-21 22:57:30 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:30 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:30 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:31 startup archives unpack
2022-02-21 22:57:31 upgrade libaudit-common:all 1:2.8.5-2ubuntu6 1:2.8.5-2ubuntu6
2022-02-21 22:57:31 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:31 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:31 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:31 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:32 startup packages configure
2022-02-21 22:57:32 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2022-02-21 22:57:32 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:32 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:32 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2022-02-21 22:57:32 startup packages configure
2022-02-21 22:57:33 startup archives unpack
2022-02-21 22:57:33 upgrade libaudit1:amd64 1:2.8.5-2ubuntu6 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:33 status half-configured libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 startup packages configure
2022-02-21 22:57:33 configure libaudit1:amd64 1:2.8.5-2ubuntu6 <none>
2022-02-21 22:57:33 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 status half-configured libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 status installed libaudit1:amd64 1:2.8.5-2ubuntu6
2022-02-21 22:57:33 startup packages configure
2022-02-21 22:57:33 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:33 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:33 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:34 startup archives unpack
2022-02-21 22:57:34 upgrade libblkid1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9
2022-02-21 22:57:34 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:34 status half-configured libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:34 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:34 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:34 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:34 startup packages configure
2022-02-21 22:57:34 configure libblkid1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:57:34 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:34 status half-configured libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:34 status installed libblkid1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:35 startup packages configure
2022-02-21 22:57:35 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:35 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:35 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:36 startup archives unpack
2022-02-21 22:57:36 upgrade libbz2-1.0:amd64 1.0.8-2 1.0.8-2
2022-02-21 22:57:36 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:36 status half-configured libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 status unpacked libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 status half-installed libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 status unpacked libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 startup packages configure
2022-02-21 22:57:36 configure libbz2-1.0:amd64 1.0.8-2 <none>
2022-02-21 22:57:36 status unpacked libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 status half-configured libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 status installed libbz2-1.0:amd64 1.0.8-2
2022-02-21 22:57:36 startup packages configure
2022-02-21 22:57:36 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:36 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:36 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 startup archives unpack
2022-02-21 22:57:37 upgrade libc-bin:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2022-02-21 22:57:37 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 status unpacked libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 status half-installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 status unpacked libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 startup packages configure
2022-02-21 22:57:37 configure libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:37 status unpacked libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:37 startup packages configure
2022-02-21 22:57:39 startup archives unpack
2022-02-21 22:57:39 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2022-02-21 22:57:39 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:39 status half-configured libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:39 status unpacked libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:39 status half-installed libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:39 status unpacked libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:39 startup packages configure
2022-02-21 22:57:39 configure libc6:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:39 status unpacked libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:39 status half-configured libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:40 status installed libc6:amd64 2.31-0ubuntu9
2022-02-21 22:57:40 startup packages configure
2022-02-21 22:57:40 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:40 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:40 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:41 startup archives unpack
2022-02-21 22:57:41 upgrade libcap-ng0:amd64 0.7.9-2.1build1 0.7.9-2.1build1
2022-02-21 22:57:41 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:41 status half-configured libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:41 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:41 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:41 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:42 startup packages configure
2022-02-21 22:57:42 configure libcap-ng0:amd64 0.7.9-2.1build1 <none>
2022-02-21 22:57:42 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:42 status half-configured libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:42 status installed libcap-ng0:amd64 0.7.9-2.1build1
2022-02-21 22:57:42 startup packages configure
2022-02-21 22:57:42 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:42 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:42 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:43 startup archives unpack
2022-02-21 22:57:43 upgrade libcom-err2:amd64 1.45.5-2ubuntu1 1.45.5-2ubuntu1
2022-02-21 22:57:43 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:43 status half-configured libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 status half-installed libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 startup packages configure
2022-02-21 22:57:43 configure libcom-err2:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:57:43 status unpacked libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 status half-configured libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 status installed libcom-err2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:43 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:43 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:43 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:44 startup archives unpack
2022-02-21 22:57:44 upgrade libcrypt1:amd64 1:4.4.10-10ubuntu4 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:44 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 status half-installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 startup packages configure
2022-02-21 22:57:44 configure libcrypt1:amd64 1:4.4.10-10ubuntu4 <none>
2022-02-21 22:57:44 status unpacked libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 status half-configured libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:44 status installed libcrypt1:amd64 1:4.4.10-10ubuntu4
2022-02-21 22:57:45 startup packages configure
2022-02-21 22:57:45 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:45 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:45 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:46 startup archives unpack
2022-02-21 22:57:46 upgrade libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:46 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 startup packages configure
2022-02-21 22:57:46 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2 <none>
2022-02-21 22:57:46 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu2
2022-02-21 22:57:46 startup packages configure
2022-02-21 22:57:46 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:46 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:46 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:47 startup archives unpack
2022-02-21 22:57:47 upgrade libdebconfclient0:amd64 0.251ubuntu1 0.251ubuntu1
2022-02-21 22:57:47 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:47 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 status half-installed libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 startup packages configure
2022-02-21 22:57:47 configure libdebconfclient0:amd64 0.251ubuntu1 <none>
2022-02-21 22:57:47 status unpacked libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 status half-configured libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 status installed libdebconfclient0:amd64 0.251ubuntu1
2022-02-21 22:57:47 startup packages configure
2022-02-21 22:57:47 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:47 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:47 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:49 startup archives unpack
2022-02-21 22:57:49 upgrade libext2fs2:amd64 1.45.5-2ubuntu1 1.45.5-2ubuntu1
2022-02-21 22:57:49 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:49 status half-configured libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status half-installed libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 startup packages configure
2022-02-21 22:57:49 configure libext2fs2:amd64 1.45.5-2ubuntu1 <none>
2022-02-21 22:57:49 status unpacked libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status half-configured libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 status installed libext2fs2:amd64 1.45.5-2ubuntu1
2022-02-21 22:57:49 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:49 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:49 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:50 startup archives unpack
2022-02-21 22:57:50 upgrade libfdisk1:amd64 2.34-0.1ubuntu9 2.34-0.1ubuntu9
2022-02-21 22:57:50 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:50 status half-configured libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status half-installed libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 startup packages configure
2022-02-21 22:57:50 configure libfdisk1:amd64 2.34-0.1ubuntu9 <none>
2022-02-21 22:57:50 status unpacked libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status half-configured libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 status installed libfdisk1:amd64 2.34-0.1ubuntu9
2022-02-21 22:57:50 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:50 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:50 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:51 startup archives unpack
2022-02-21 22:57:51 upgrade libffi7:amd64 3.3-4 3.3-4
2022-02-21 22:57:51 status triggers-pending libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:51 status half-configured libffi7:amd64 3.3-4
2022-02-21 22:57:51 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:57:51 status half-installed libffi7:amd64 3.3-4
2022-02-21 22:57:52 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:57:52 startup packages configure
2022-02-21 22:57:52 configure libffi7:amd64 3.3-4 <none>
2022-02-21 22:57:52 status unpacked libffi7:amd64 3.3-4
2022-02-21 22:57:52 status half-configured libffi7:amd64 3.3-4
2022-02-21 22:57:52 status installed libffi7:amd64 3.3-4
2022-02-21 22:57:52 startup packages configure
2022-02-21 22:57:52 trigproc libc-bin:amd64 2.31-0ubuntu9 <none>
2022-02-21 22:57:52 status half-configured libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:52 status installed libc-bin:amd64 2.31-0ubuntu9
2022-02-21 22:57:53 startup archives unpack
